,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ENSG00000132434,0.8418733426922511,0.9246252676659521,0.8087056128293237,0.9188500727802035,-0.799858156028366,-0.02450828956853051,0.009267699787298692,0.23398526077097537,-0.6322964669738854,0.6738208797032321,-0.01390618513906177,-0.6452941176470585,-0.7629839471199253,-0.9536621823617341,-0.20053956834532358,-0.9763033175355451,-0.6270627062706271,0.42004504504504503,0.2601918465227817,-0.9195075757575761,-0.7716666666666668
ENSG00000139910,0.7326158165652865,0.7959743040685309,0.6783505154639162,0.8148471615720515,-0.5450638297872366,-0.1438986716095149,0.5179580674566991,0.2791666666666668,-0.36566820276497725,0.47456279809220975,-0.19713574097135766,-0.6343529411764698,-0.6320113314447601,-0.7251121076233187,0.046582733812949625,-0.766350710900474,-0.5069306930693076,0.5263513513513514,0.1633093525179857,-0.6931818181818185,-0.6245000000000005
ENSG00000106278,0.8432807248904693,0.8974888066965219,0.7799125273352102,0.8727669710202469,-0.5271179883945856,0.03269020136490034,0.30877600066296523,0.24327458256029616,-0.3941139505655634,0.6534181240063609,-0.002037812747650833,-0.5093048128342251,-0.6327581766675237,-0.7472482674276384,-0.05608240680183134,-0.7944851357173616,-0.48244824482448173,0.4846437346437346,0.34270765206017006,-0.7799586776859498,-0.645
ENSG00000078018,0.6898299797223562,0.7561741613133615,0.6911034746086305,0.785783600194081,-0.7260520094562753,0.07572169017952168,-0.018231540565177836,0.3175547996976569,-0.5473630312339999,0.262321144674086,0.20741663207416633,-0.6350326797385643,-0.41926345609065174,-0.8854010961634268,-0.08772981614708211,-0.9426013691416528,-0.6034103410341028,0.3363363363363364,0.4548361310951239,-0.8907828282828273,-0.7338888888888878
ENSG00000177694,0.8254562470753363,0.8629550321199165,0.7388316151202754,0.8624454148471632,-0.6055319148936218,-0.02831840181237778,0.45639623214828395,0.4623015873015891,-0.456221198156683,0.5559088500264976,-0.13532586135325872,-0.555294117647062,-0.6326723323890445,-0.7503736920777275,-0.009592326139088662,-0.8214849921011056,-0.4925742574257418,0.502252252252252,0.11750599520383692,-0.8276515151515156,-0.6650000000000006
ENSG00000135298,0.7948759943846655,0.8948608137044978,0.7647766323024036,0.8733624454148459,-0.6618723404255338,-0.043033673154155155,0.36308113035551426,0.3482993197278901,-0.6091013824884786,0.5359300476947537,-0.142963885429639,-0.6995294117647034,-0.7390934844192655,-0.897757847533633,-0.08956834532374099,-0.953554502369669,-0.5710396039603975,0.4587837837837837,0.05179856115107908,-0.9244318181818187,-0.7850000000000011
ENSG00000127124,0.7786909218530651,0.8970556745182013,0.7379725085910653,0.8561681222707423,-0.7196276595744681,-0.09387550200803213,0.1541704649042844,0.462266156462585,-0.5332661290322581,0.49324324324324326,-0.17777085927770858,-0.7613235294117647,-0.7280453257790368,-0.8890134529147982,-0.12252697841726619,-0.941350710900474,-0.5860148514851485,0.4780405405405405,-0.007194244604316547,-0.9303977272727273,-0.814375
ENSG00000095015,0.807229761347702,0.8967451820128501,0.7390034364261159,0.8626637554585154,-0.6610638297872353,-0.13456904541241876,0.30938924339106644,0.33588435374149683,-0.48225806451612874,0.5279809220985686,-0.20224159402241595,-0.6947058823529403,-0.718980169971673,-0.8726457399103145,-0.026798561151079224,-0.9369668246445505,-0.554455445544556,0.5486486486486489,0.0712230215827338,-0.875000000000001,-0.7515000000000014
ENSG00000198369,0.7090781469349595,0.8727194860813728,0.6931271477663231,0.8639737991266371,-0.7274468085106379,-0.0940685820203892,-0.0641750227894257,0.511054421768707,-0.563479262672811,0.46120826709061963,-0.13872976338729798,-0.761176470588234,-0.7419263456090655,-0.9053811659192832,-0.2393884892086331,-0.9454976303317538,-0.6042079207920796,0.3567567567567568,-0.005755395683453245,-0.9494318181818181,-0.8185000000000003
ENSG00000105894,0.7615231633130557,0.8845824411134904,0.6640893470790378,0.8335152838427947,-0.6595744680851063,-0.22451343836886006,0.33546034639927075,0.31058673469387754,-0.554147465437788,0.4050079491255962,-0.2727272727272727,-0.7702941176470588,-0.796742209631728,-0.9047085201793722,0.008093525179856115,-0.9632701421800948,-0.6188118811881188,0.6047297297297297,0.02697841726618705,-0.8267045454545454,-0.7525
